KEY | SOURCE TEXT | SCREEN / LOCATION | TRANSLATOR NOTE
jppos.product.scan.error.rejected | The scan request was rejected. Try again with a different code. | JPPOS / Cashier / Product Scan | Invalid scan payload.
jppos.product.scan.error.no_permission | This POS session cannot scan products. | JPPOS / Cashier / Product Scan | POS permission denied.
jppos.product.availability.available | Available | JPPOS / Cashier / Product | Product availability.
jppos.product.availability.sold | Sold | JPPOS / Cashier / Product | Product availability.
jppos.product.availability.archived | Archived | JPPOS / Cashier / Product | Product availability.
jppos.product.availability.needs_review | Needs review | JPPOS / Cashier / Product | Product availability.
jppos.product.availability.wrong_branch | Wrong branch | JPPOS / Cashier / Product | Advisory branch mismatch.
jppos.cart.status.open | OPEN | JPPOS / Cashier / Cart | Cart status.
jppos.cart.status.checking_out | CHECKING OUT | JPPOS / Cashier / Cart | Cart status.
jppos.cart.status.completed | COMPLETED | JPPOS / Cashier / Cart | Cart status.
jppos.cart.status.cancelled | CANCELLED | JPPOS / Cashier / Cart | Cart status.
jppos.cart.status.expired | EXPIRED | JPPOS / Cashier / Cart | Cart status.
jppos.cart.disabled | Disabled | JPPOS / Cashier / Cart | Disabled panel state.
jppos.cart.items_aria | Sale draft items | JPPOS / Cashier / Cart | Accessibility list label.
jppos.cart.readiness.products | Products verified | JPPOS / Cashier / Readiness | Checklist item.
jppos.cart.readiness.customer | Customer account | JPPOS / Cashier / Readiness | Checklist item.
jppos.cart.readiness.salesperson | Salesperson | JPPOS / Cashier / Readiness | Checklist item.
jppos.cart.readiness.payment | Payment | JPPOS / Cashier / Readiness | Payment readiness item; payment is not sale completion.
jppos.cart.readiness.complete | Complete sale | JPPOS / Cashier / Readiness | Finalisation readiness item.
jppos.cart.readiness.pending | Pending | JPPOS / Cashier / Readiness | Checklist state.
jppos.cart.coming_next | Coming next | JPPOS / Cashier / Readiness | Future action badge.
jppos.customer.placeholder | Scan or enter Customer ID | JPPOS / Cashier / Customer Attach | Customer ID input placeholder.
jppos.customer.resolved | Resolved customer | JPPOS / Cashier / Customer Attach | Accessibility label.
jppos.customer.error.session | POS session expired. Scan again to continue. | JPPOS / Cashier / Customer Attach | Re-auth POS session.
jppos.salesperson.placeholder | Scan or enter Salesman ID | JPPOS / Cashier / Salesperson Attach | Staff scan placeholder.
jppos.salesperson.resolved | Resolved staff | JPPOS / Cashier / Salesperson Attach | Accessibility label.
jppos.salesperson.error.session | POS session expired. Scan again to continue. | JPPOS / Cashier / Salesperson Attach | Re-auth POS session.
jppos.salesperson.error.sales_only | Only Sales staff can be attached as salesperson. | JPPOS / Cashier / Salesperson Attach | Role validation.
jppos.salesperson.wrong_branch | Wrong branch | JPPOS / Cashier / Salesperson Attach | Advisory branch mismatch badge.
jppos.salesperson.branch_mismatch | Branch mismatch. | JPPOS / Cashier / Salesperson Attach | Branch mismatch warning.
jppos.salesperson.primary | primary | JPPOS / Cashier / Salesperson Attach | Primary branch marker.
jppos.payment.method.thai_qr | Thai QR | JPPOS / Cashier / Payment Panel | Payment method.
jppos.payment.method.qr_credit | QR Credit | JPPOS / Cashier / Payment Panel | Payment method.
jppos.payment.method.cash | Cash | JPPOS / Cashier / Payment Panel | Payment method.
jppos.payment.method.card_terminal | Card Terminal | JPPOS / Cashier / Payment Panel | Payment method.
jppos.payment.method.bank_transfer | Manual Bank Transfer | JPPOS / Cashier / Payment Panel | Payment method.
jppos.payment.no_payment | No payment | JPPOS / Cashier / Payment Panel | Empty payment state.
jppos.payment.amount_placeholder | 0.00 | JPPOS / Cashier / Payment Panel | Amount input placeholder.
jppos.payment.qr_aria | KBank payment QR — customer scans this code | JPPOS / Cashier / Payment Panel | Customer scans QR; no secret values.
jppos.payment.confirmed | Payment confirmed | JPPOS / Cashier / Payment Panel | Safety-critical: payment only, not sale complete.
jppos.payment.status.pending | Pending | JPPOS / Cashier / Payment Panel | Payment status.
jppos.payment.status.confirmed | Confirmed | JPPOS / Cashier / Payment Panel | Payment status.
jppos.payment.status.cancelled | Cancelled | JPPOS / Cashier / Payment Panel | Payment status.
jppos.payment.status.expired | Expired | JPPOS / Cashier / Payment Panel | Payment status.
jppos.payment.status.failed | Failed | JPPOS / Cashier / Payment Panel | Payment status.
jppos.payment.status.voided | Voided | JPPOS / Cashier / Payment Panel | Payment status.
jppos.payment.status.refunded | Refunded | JPPOS / Cashier / Payment Panel | Payment status.
jppos.payment.status.unknown | Unknown | JPPOS / Cashier / Payment Panel | Payment status.
jppos.pos_provider.error.create_draft | This POS session cannot create a sale draft. | JPPOS / Cart provider errors | Permission/role failure.
jppos.pos_provider.error.customer_first | Start a sale draft before attaching a customer. | JPPOS / Cart provider errors | Sequence guidance.
jppos.pos_provider.error.salesperson_first | Start a sale draft before attaching a salesperson. | JPPOS / Cart provider errors | Sequence guidance.
jppos.pos_provider.error.timeout | The POS service did not respond. Try again in a moment. | JPPOS / POS API errors | Timeout.
jppos.pos_provider.error.network | Could not reach the POS service. Check the terminal's network. | JPPOS / POS API errors | Network failure.
jppos.display.welcome_aria | Welcome to Jade Palace | JPPOS / Customer Display / Welcome | Accessibility label.
jppos.display.checkout.preparing | Preparing your purchase | JPPOS / Customer Display / Checkout | Customer-facing checkout state.
jppos.display.checkout.items | Items being prepared | JPPOS / Customer Display / Checkout | Customer-facing item list label.
jppos.display.checkout.status | Sale status | JPPOS / Customer Display / Checkout | Customer-facing status label.
jppos.display.payment_pending | Waiting for payment | JPPOS / Customer Display / Payment Pending | Customer-facing waiting state.
jppos.display.payment_qr | Payment QR code — scan with your bank app | JPPOS / Customer Display / Payment Pending | Customer-facing QR instruction.
jppos.display.payment_received | Payment received | JPPOS / Customer Display / Payment Confirmed | Safety-critical: do not imply sale is complete.
jppos.display.thank_you | Thank you | JPPOS / Customer Display / Thank You | Customer-facing final screen.
